,Deck,Player,ID,Tournament,Date,Format,Size,Decklist,Deck Adjusted
161,Blue-White Control,duparcqG,2486935,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"3 Azorius Charm
2 Blessed Alliance
1 Castle Ardenvale
1 Castle Vantress
1 Censor
2 Detention Sphere
2 Dig Through Time
3 Disallow
1 Dovin's Veto
1 Elspeth, Sun's Champion
2 Field of Ruin
1 Gideon of the Trials
4 Glacial Fortress
4 Hallowed Fountain
6 Island
1 Jace, Architect of Thought
1 Negate
4 Opt
3 Plains
1 Search for Azcanta
2 Sphinx's Revelation
4 Supreme Verdict
2 Teferi, Hero of Dominaria
4 Teferi, Time Raveler
3 Temple of Enlightenment
1 Torrential Gearhulk

1 Disdainful Stroke
1 Dovin's Veto
1 Lyra Dawnbringer
2 Narset, Parter of Veils
4 Nyx-Fleece Ram
2 Pithing Needle
3 Rest in Peace
1 Settle the Wreckage",UW Control
162,Izzet Phoenixes,JeremyMandel,2486932,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bonecrusher Giant
4 Brazen Borrower
2 Champion of Wits
2 Chandra, Torch of Defiance
4 Elder Deep-Fiend
4 Flamewake Phoenix
2 Island
4 Izzet Charm
4 Kozilek's Return
4 Lightning Axe
4 Mountain
3 Mutavault
4 Rekindling Phoenix
2 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Sulfur Falls
3 Wandering Fumarole

3 Aether Gust
2 Dig Through Time
1 Mystical Dispute
2 Redcap Melee
4 Stubborn Denial
3 Wild Slash",
163,Mono-Green Devotion,Cherryxman,2486934,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
2 Paradise Druid
1 Sylvan Caryatid
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

2 Lifecrafter's Bestiary
3 Nylea's Disciple
1 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
1 Ulamog, the Ceaseless Hunger
2 Unravel the Aether
3 Veil of Summer",Gx Ramp
164,Mono-Green Devotion,Truedawn,2486936,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
3 Verdurous Gearhulk
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

2 Nylea's Disciple
2 Questing Beast
3 Scavenging Ooze
4 Thrashing Brontodon
1 Ulamog, the Ceaseless Hunger
3 Veil of Summer",Gx Ramp
165,Mono-Green Devotion,adrianretamosa,2486931,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
3 Scavenging Ooze
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

2 Lifecrafter's Bestiary
3 Nylea's Disciple
2 Questing Beast
2 Reclamation Sage
1 Ulamog, the Ceaseless Hunger
2 Unravel the Aether
3 Veil of Summer",Gx Ramp
166,Mono-Green Devotion,swahili,2486937,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
3 Scavenging Ooze
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

3 Lifecrafter's Bestiary
3 Nylea's Disciple
2 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
1 Ulamog, the Ceaseless Hunger
3 Veil of Summer",Gx Ramp
167,Azorius Tempo,connormc02,2486938,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"3 Archangel Avacyn
4 Brazen Borrower
2 Castle Ardenvale
2 Declaration in Stone
4 Gideon, Ally of Zendikar
4 Glacial Fortress
4 Hallowed Fountain
2 Irrigated Farmland
7 Island
6 Plains
4 Reflector Mage
2 Selfless Spirit
4 Smuggler's Copter
4 Spell Queller
4 Teferi, Time Raveler
4 Thraben Inspector

1 Deputy of Detention
2 Dovin's Veto
1 Lyra Dawnbringer
2 Mystical Dispute
3 Rest in Peace
3 Supreme Verdict
3 Surge of Righteousness",
168,Azorius Tempo,musasabi,2486952,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Archangel Avacyn
3 Brazen Borrower
2 Castle Ardenvale
2 Declaration in Stone
4 Gideon, Ally of Zendikar
4 Glacial Fortress
4 Hallowed Fountain
1 Irrigated Farmland
6 Island
6 Plains
2 Port Town
4 Reflector Mage
1 Selfless Spirit
4 Smuggler's Copter
4 Spell Queller
3 Teferi, Time Raveler
4 Thraben Inspector
2 Walking Ballista

2 Cerulean Drake
1 Detention Sphere
2 Disdainful Stroke
2 Mystical Dispute
3 Rest in Peace
1 Spell Pierce
3 Supreme Verdict
1 Teferi, Hero of Dominaria",
169,Bant Field of the Dead,Takizawa,2486945,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arboreal Grazer
1 Blast Zone
1 Blossoming Sands
1 Botanical Sanctum
1 Breeding Pool
1 Castle Vantress
4 Elvish Rejuvenator
1 Fabled Passage
4 Field of the Dead
3 Forest
1 Glacial Fortress
4 Growth Spiral
1 Hallowed Fountain
1 Hinterland Harbor
4 Hour of Promise
1 Irrigated Farmland
1 Island
1 Lumbering Falls
2 Plains
1 Scattered Groves
1 Scavenger Grounds
3 Settle the Wreckage
4 Sphinx's Revelation
1 Sunpetal Grove
4 Supreme Verdict
3 Teferi, Time Raveler
1 Temple Garden
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Thornwood Falls
1 Tranquil Cove

2 Blessed Alliance
2 Detention Sphere
2 Disdainful Stroke
3 Negate
3 Rest in Peace
3 Tireless Tracker",Bant Field Ramp
170,Blue-White Control,JAmes1099,2486950,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"2 Absorb
2 Approach of the Second Sun
1 Blessed Alliance
2 Cast Out
4 Censor
3 Dig Through Time
1 Dovin's Veto
1 Gideon of the Trials
4 Glacial Fortress
4 Hallowed Fountain
2 Irrigated Farmland
5 Island
2 Mutavault
2 Narset, Parter of Veils
4 Opt
3 Plains
2 Port Town
2 Seal Away
1 Search for Azcanta
4 Supreme Verdict
3 Teferi, Hero of Dominaria
3 Teferi, Time Raveler
3 Temple of Enlightenment

2 Aether Gust
1 Ashiok, Dream Render
1 Detention Sphere
1 Disdainful Stroke
2 Dovin's Veto
2 Gideon, Ally of Zendikar
1 Lyra Dawnbringer
2 Mystical Dispute
2 Nyx-Fleece Ram
1 Settle the Wreckage",UW Control
171,Blue-White Control,curekanata,2486954,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"1 Absorb
1 Azorius Charm
1 Blast Zone
1 Cast Out
1 Castle Ardenvale
1 Castle Vantress
1 Censor
2 Commit/Memory
2 Dig Through Time
1 Disallow
1 Dovin's Veto
1 Fabled Passage
3 Field of Ruin
2 Field of the Dead
1 Geier Reach Sanitarium
4 Glacial Fortress
4 Hallowed Fountain
1 Irrigated Farmland
3 Island
2 Narset, Parter of Veils
4 Opt
3 Plains
1 Port Town
1 Seal Away
2 Search for Azcanta
1 Settle the Wreckage
1 Sphinx's Revelation
4 Supreme Verdict
2 Syncopate
2 Teferi, Hero of Dominaria
4 Teferi, Time Raveler
1 Temple of Enlightenment

1 Ashiok, Dream Render
1 Detention Sphere
1 Disenchant
2 Dovin's Veto
1 Lyra Dawnbringer
3 Monastery Mentor
2 Nyx-Fleece Ram
1 Pithing Needle
2 Rest in Peace
1 Summary Dismissal",UW Control
172,Burn,Jedi_Knight,2486955,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bomat Courier
1 Castle Embereth
4 Eidolon of the Great Revel
1 Hazoret the Fervent
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
14 Mountain
4 Ramunap Ruins
4 Searing Blood
4 Shock
4 Skewer the Critics
4 Soul-Scar Mage
4 Wild Slash

2 Goblin Chainwhirler
2 Hazoret the Fervent
3 Lava Coil
2 Rampaging Ferocidon
4 Skullcrack
2 Smash to Smithereens",
173,Dimir Self-Mill,KosherSammich,2486943,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Cauldron Familiar
4 Choked Estuary
4 Drowned Catacomb
4 Elder Deep-Fiend
4 Emry, Lurker of the Loch
2 Fatal Push
4 Haunted Dead
2 Island
4 Prized Amalgam
4 Scrapheap Scrounger
4 Smuggler's Copter
4 Stitcher's Supplier
5 Swamp
2 Thoughtseize
1 Urborg, Tomb of Yawgmoth
4 Watery Grave
4 Witch's Oven

2 Duress
2 Fatal Push
2 Legion's End
2 Pithing Needle
2 Thoughtseize
2 Tormod's Crypt
3 Unmoored Ego",
174,Green Field Ramp,Aldmhac,2486947,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arboreal Grazer
2 Blast Zone
1 Cascading Cataracts
4 Castle Garenbrig
2 Desert of the Indomitable
4 Elvish Rejuvenator
1 Emrakul, the Promised End
1 Field of Ruin
2 Field of the Dead
6 Forest
2 Golos, Tireless Pilgrim
3 Hashep Oasis
4 Hour of Promise
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
3 Shrine of the Forsaken Gods
4 Ugin, the Spirit Dragon
1 Ulamog, the Ceaseless Hunger
4 Walking Ballista

3 Jaddi Offshoot
2 Karn, Scion of Urza
3 Return to Nature
1 Sorcerous Spyglass
2 Thought-Knot Seer
3 Veil of Summer
1 World Breaker",
175,Green Field Ramp,Aluren85,2486951,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arboreal Grazer
2 Blast Zone
1 Cascading Cataracts
2 Castle Garenbrig
2 Desert of the Indomitable
3 Elvish Rejuvenator
1 Field of Ruin
2 Field of the Dead
8 Forest
3 Golos, Tireless Pilgrim
1 Hashep Oasis
4 Hour of Promise
2 Llanowar Elves
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
1 Sea Gate Wreckage
3 Shrine of the Forsaken Gods
4 Ugin, the Spirit Dragon
1 Ulamog, the Ceaseless Hunger
1 Walking Ballista
3 World Breaker

1 Emrakul, the Promised End
4 Jaddi Offshoot
2 Sorcerous Spyglass
4 Thought-Knot Seer
1 Walking Ballista
3 Warping Wail",
176,Grixis Dragon Control,Heibing,2486944,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"1 Angrath's Rampage
4 Blood Crypt
4 Drowned Catacomb
4 Fatal Push
1 Foul-Tongue Invocation
4 Glorybringer
2 Island
2 Jace, Vryn's Prodigy
3 Kolaghan's Command
4 Nicol Bolas, the Ravager
4 Opt
2 Shock
4 Silumgar's Scorn
4 Spirebluff Canal
4 Steam Vents
1 Swamp
1 Tasigur, the Golden Fang
4 Thoughtseize
3 Treasure Cruise
4 Watery Grave

2 Disdainful Stroke
1 Duress
1 Kalitas, Traitor of Ghet
4 Mystical Dispute
3 Noxious Grasp
4 Radiant Flames",UBx Control
177,Hardened Scales,Zar0s,2486941,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Blooming Marsh
4 Experiment One
6 Forest
4 Hangarback Walker
4 Hardened Scales
4 Llanowar Wastes
4 Nissa, Voice of Zendikar
4 Once Upon a Time
4 Overgrown Tomb
4 Pelt Collector
1 Rishkar, Peema Renegade
4 Stonecoil Serpent
1 Voracious Hydra
4 Walking Ballista
4 Winding Constrictor
4 Woodland Cemetery

1 Abrupt Decay
1 Assassin's Trophy
3 Fatal Push
3 Questing Beast
2 Scavenging Ooze
4 Thoughtseize
1 Veil of Summer",
178,Izzet Phoenixes,fjedb,2486942,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bonecrusher Giant
4 Brazen Borrower
2 Champion of Wits
2 Chandra, Torch of Defiance
4 Elder Deep-Fiend
4 Flamewake Phoenix
2 Island
4 Izzet Charm
4 Kozilek's Return
4 Lightning Axe
4 Mountain
2 Mutavault
4 Rekindling Phoenix
2 Sanctum of Ugin
2 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Sulfur Falls
2 Wandering Fumarole

3 Aether Gust
2 Dig Through Time
1 Mystical Dispute
2 Redcap Melee
4 Stubborn Denial
3 Wild Slash",
179,Mono-Black Aggro,Ogre,2486940,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
4 Gifted Aetherborn
3 Kalitas, Traitor of Ghet
4 Knight of the Ebon Legion
3 Murderous Rider
4 Mutavault
4 Night Market Lookout
2 Scrapheap Scrounger
4 Smuggler's Copter
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

1 Ashiok, Dream Render
1 Disfigure
3 Duress
1 Grasp of Darkness
3 Kitesail Freebooter
1 Lifebane Zombie
3 Noxious Grasp
2 Phyrexian Revoker",Bx Aggro
180,Mono-Black Aggro,vidieowiz4,2486946,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
3 Gifted Aetherborn
2 Kalitas, Traitor of Ghet
4 Knight of the Ebon Legion
4 Murderous Rider
4 Mutavault
4 Night Market Lookout
1 Rankle, Master of Pranks
2 Scrapheap Scrounger
4 Smuggler's Copter
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

1 Davriel, Rogue Shadowmage
2 Disfigure
3 Duress
1 Gifted Aetherborn
1 Grasp of Darkness
1 Kitesail Freebooter
2 Leyline of the Void
3 Noxious Grasp
1 Rankle, Master of Pranks",Bx Aggro
181,Mono-Green Devotion,GhostfaceVanilla,2486948,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
2 Ghalta, Primal Hunger
4 Llanowar Elves
3 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
1 Rhonas the Indomitable
4 Steel Leaf Champion
1 Surrak, the Hunt Caller
2 The Great Henge
4 Voracious Hydra
4 Walking Ballista
2 Yorvo, Lord of Garenbrig

2 Feed the Clan
2 Lifecrafter's Bestiary
2 Nylea's Disciple
2 Questing Beast
2 Reclamation Sage
2 Unravel the Aether
3 Veil of Summer",Gx Ramp
182,Mono-Green Devotion,Revengers,2486939,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
2 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
1 Questing Beast
2 Scavenging Ooze
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Lifecrafter's Bestiary
3 Nylea's Disciple
2 Questing Beast
2 Reclamation Sage
1 Scavenging Ooze
3 Shapers' Sanctuary
1 Ulamog, the Ceaseless Hunger
2 Unravel the Aether",Gx Ramp
183,Simic Aggro,ack_s,2486949,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
4 Elvish Mystic
6 Forest
2 Ghalta, Primal Hunger
2 Gilded Goose
2 Hashep Oasis
3 Heart of Kiran
3 Kiora, Behemoth Beckoner
4 Llanowar Elves
4 Lovestruck Beast
4 Oko, Thief of Crowns
1 Once Upon a Time
1 Questing Beast
1 Setessan Tactics
3 Smuggler's Copter
4 Steel Leaf Champion
4 Stubborn Denial
4 Yavimaya Coast

2 Feed the Clan
2 Heroic Intervention
2 Mystical Dispute
2 Pithing Needle
2 Reclamation Sage
1 Silent Gravestone
2 Sleep
2 Veil of Summer",
184,Simic Stompy,Chayajom,2486953,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Botanical Sanctum
3 Breeding Pool
4 Elvish Mystic
10 Forest
4 Gilded Goose
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Oko, Thief of Crowns
4 Once Upon a Time
2 Questing Beast
4 Steel Leaf Champion
1 Tamiyo's Journal
2 Vine Mare
4 Vivien, Arkbow Ranger
4 Yavimaya Coast
3 Yorvo, Lord of Garenbrig

3 Ashiok, Dream Render
3 Negate
2 Reclamation Sage
2 Shifting Ceratops
1 Tamiyo, Collector of Tales
2 Veil of Summer
2 Voracious Hydra",Gx Stompy
185,Bant Spirits,rebsik,2486959,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
4 Collected Company
2 Deputy of Detention
4 Empyrean Eagle
4 Glacial Fortress
4 Hallowed Fountain
1 Island
4 Mausoleum Wanderer
1 Plains
4 Rattlechains
2 Reflector Mage
4 Selfless Spirit
3 Smuggler's Copter
2 Spectral Sailor
4 Spell Queller
1 Sunpetal Grove
4 Supreme Phantom
4 Temple Garden

1 Aether Gust
1 Ashiok, Dream Render
1 Dromoka's Command
2 Eidolon of Rhetoric
3 Mystical Dispute
1 Reclamation Sage
1 Reflector Mage
2 Remorseful Cleric
3 Veil of Summer",Spirits
186,Green Field Ramp,Szychuz,2486962,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arboreal Grazer
2 Blast Zone
1 Cascading Cataracts
4 Castle Garenbrig
2 Desert of the Indomitable
4 Elvish Rejuvenator
1 Emrakul, the Promised End
1 Field of Ruin
2 Field of the Dead
6 Forest
2 Golos, Tireless Pilgrim
3 Hashep Oasis
4 Hour of Promise
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
3 Shrine of the Forsaken Gods
4 Ugin, the Spirit Dragon
1 Ulamog, the Ceaseless Hunger
4 Walking Ballista

4 Jaddi Offshoot
3 Return to Nature
3 Sorcerous Spyglass
2 Thought-Knot Seer
3 Veil of Summer",
187,Izzet Phoenix,GGoggles,2486960,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
1 Crackling Drake
4 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
1 Merchant of the Vale
2 Mountain
4 Opt
4 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Strategic Planning
2 Sulfur Falls
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

2 Abrade
1 Brazen Borrower
2 Chandra, Torch of Defiance
1 Dispel
2 Fry
2 Mystical Dispute
2 Narset, Parter of Veils
1 Spell Pierce
2 Sweltering Suns",
188,Izzet Phoenix,Klugen,2486956,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
3 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
2 Mountain
4 Opt
4 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
3 Strategic Planning
2 Sulfur Falls
2 The Royal Scions
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

3 Abrade
1 Brazen Borrower
2 Chandra, Torch of Defiance
4 Mystical Dispute
3 Narset, Parter of Veils
2 Sweltering Suns",
189,Mono-Green Devotion,auzzie51,2486957,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Burning-Tree Emissary
3 Castle Garenbrig
4 Elvish Mystic
15 Forest
4 Jadelight Ranger
4 Llanowar Elves
2 Merfolk Branchwalker
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Once Upon a Time
4 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Lifecrafter's Bestiary
2 Nylea's Disciple
2 Questing Beast
2 Reclamation Sage
2 Scavenging Ooze
1 Ulamog, the Ceaseless Hunger
2 Unravel the Aether
3 Veil of Summer",Gx Ramp
190,Mono-Red Aggro,Andrew_Schneider,2486961,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bomat Courier
1 Castle Embereth
4 Eidolon of the Great Revel
4 Ghitu Lavarunner
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
15 Mountain
4 Ramunap Ruins
4 Soul-Scar Mage
4 Viashino Pyromancer
4 Wild Slash
4 Wizard's Lightning

2 Chandra, Torch of Defiance
2 Goblin Chainwhirler
3 Rampaging Ferocidon
2 Rending Volley
4 Searing Blood
2 Smash to Smithereens",Rx Aggro
191,Mono-Red Aggro,MichaelArmando,2486958,Pioneer Challenge #12014495,11/10/2019,Pioneer,32,"4 Bomat Courier
1 Castle Embereth
4 Eidolon of the Great Revel
4 Ghitu Lavarunner
1 Hazoret the Fervent
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
14 Mountain
4 Ramunap Ruins
4 Soul-Scar Mage
4 Viashino Pyromancer
4 Wild Slash
4 Wizard's Lightning

2 Chandra, Torch of Defiance
2 Goblin Chainwhirler
3 Rampaging Ferocidon
4 Searing Blood
4 Smash to Smithereens",Rx Aggro
192,Burn,kanister,2463003,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"1 Ash Zealot
4 Bomat Courier
4 Eidolon of the Great Revel
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
14 Mountain
4 Ramunap Ruins
4 Searing Blood
4 Shock
4 Skewer the Critics
1 Skullcrack
4 Soul-Scar Mage
4 Wild Slash

2 Abbot of Keral Keep
2 Aethersphere Harvester
1 Bedlam Reveler
2 Goblin Chainwhirler
2 Rampaging Ferocidon
2 Rending Volley
2 Skullcrack
2 Smash to Smithereens",
193,Mono-Black Vampires,CLYDE THE GLIDE DREXLER,2462998,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"4 Castle Locthwain
4 Champion of Dusk
2 Drana, Liberator of Malakir
4 Fatal Push
4 Gifted Aetherborn
4 Gray Merchant of Asphodel
2 Kalitas, Traitor of Ghet
4 Knight of the Ebon Legion
4 Mutavault
2 Nykthos, Shrine to Nyx
4 Sorin, Imperious Bloodlord
2 Stromkirk Condemned
12 Swamp
4 Thoughtseize
2 Urborg, Tomb of Yawgmoth
2 Walking Ballista

1 Ashiok, Dream Render
2 Blightbeetle
1 Bolas's Citadel
2 Grasp of Darkness
4 Leyline of the Void
2 Noxious Grasp
1 Pithing Needle
2 Witch's Vengeance",Bx Aggro
194,Mono-Green Ramp,Chayajom,2463000,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"2 Burning-Tree Emissary
4 Elvish Mystic
16 Forest
1 Garruk, Caller of Beasts
4 Gilded Goose
1 Hornet Queen
3 Leafkin Druid
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
3 Oath of Nissa
4 Once Upon a Time
2 Ulamog, the Ceaseless Hunger
1 Vivien, Arkbow Ranger
2 Voracious Hydra
2 Walking Ballista

2 Nylea's Disciple
4 Reclamation Sage
3 Scavenging Ooze
2 Shifting Ceratops
1 Ulamog, the Ceaseless Hunger
1 Vivien, Arkbow Ranger
1 Walking Ballista",Gx Ramp
195,Mono-Green Ramp,kingbobth,2463002,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"4 Burning-Tree Emissary
1 Castle Garenbrig
2 Courser of Kruphix
4 Elvish Mystic
15 Forest
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
4 Once Upon a Time
2 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Hornet Queen
4 Nylea's Disciple
1 Reclamation Sage
3 Scavenging Ooze
3 Shapers' Sanctuary
1 Ulamog, the Ceaseless Hunger
2 Whisperwood Elemental",Gx Ramp
196,Mono-Green Ramp,lampalot,2463001,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"4 Burning-Tree Emissary
1 Castle Garenbrig
2 Courser of Kruphix
4 Elvish Mystic
15 Forest
4 Leyline of Abundance
4 Llanowar Elves
4 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
4 Once Upon a Time
2 Vivien, Arkbow Ranger
4 Voracious Hydra
4 Walking Ballista

1 Hornet Queen
4 Nylea's Disciple
1 Reclamation Sage
3 Scavenging Ooze
3 Shapers' Sanctuary
1 Ulamog, the Ceaseless Hunger
2 Whisperwood Elemental",Gx Ramp
197,Azorius Tempo,mtg-max,2463012,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"3 Archangel Avacyn
3 Brazen Borrower
2 Castle Ardenvale
2 Declaration in Stone
4 Gideon, Ally of Zendikar
4 Glacial Fortress
4 Hallowed Fountain
1 Irrigated Farmland
7 Island
6 Plains
1 Prairie Stream
4 Reflector Mage
1 Secure the Wastes
4 Smuggler's Copter
4 Spell Queller
3 Teferi, Time Raveler
4 Thraben Inspector
3 Walking Ballista

3 Cerulean Drake
1 Detention Sphere
2 Disdainful Stroke
2 Mystical Dispute
2 Rest in Peace
1 Spell Pierce
3 Supreme Verdict
1 Teferi, Hero of Dominaria",
198,Bant Field of the Dead,ksmitherman78,2463014,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"1 Approach of the Second Sun
4 Arboreal Grazer
1 Blast Zone
1 Blossoming Sands
1 Botanical Sanctum
1 Breeding Pool
1 Castle Vantress
1 Dig Through Time
4 Elvish Rejuvenator
1 Fabled Passage
1 Field of Ruin
4 Field of the Dead
2 Forest
1 Glacial Fortress
4 Growth Spiral
1 Hallowed Fountain
1 Hinterland Harbor
4 Hour of Promise
3 Hour of Revelation
1 Irrigated Farmland
1 Island
1 Lumbering Falls
2 Plains
1 Scattered Groves
1 Scavenger Grounds
4 Sphinx's Revelation
1 Spring/Mind
1 Sunpetal Grove
4 Supreme Verdict
1 Temple Garden
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Thornwood Falls
1 Tranquil Cove

1 Dig Through Time
3 Disdainful Stroke
4 Mystical Dispute
4 Negate
3 Rest in Peace",Bant Field Ramp
199,Four-Color Copycat Energy,Diem4x,2463006,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"4 Aether Hub
4 Attune with Aether
4 Botanical Sanctum
2 Breeding Pool
4 Felidar Guardian
2 Forest
4 Gilded Goose
4 Harnessed Lightning
2 Heart of Kiran
1 Inspiring Vantage
1 Island
1 Mana Confluence
1 Mountain
2 Oath of Chandra
4 Oath of Nissa
2 Oko, Thief of Crowns
1 Plains
4 Rogue Refiner
4 Saheeli Rai
1 Spirebluff Canal
1 Stomping Ground
1 Tamiyo, Collector of Tales
4 Teferi, Time Raveler
2 Temple Garden

2 Arashin Cleric
1 Fry
2 Mystical Dispute
2 Negate
2 Radiant Flames
1 Tamiyo, Collector of Tales
2 Tireless Tracker
3 Veil of Summer",
200,Izzet Phoenix,JogandoPelado,2463011,Pioneer Challenge #12006983,11/3/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
4 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
2 Merchant of the Vale
2 Mountain
4 Opt
4 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
2 Strategic Planning
2 Sulfur Falls
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

2 Abrade
2 Chandra, Torch of Defiance
2 Fry
2 Mystical Dispute
2 Narset, Parter of Veils
1 Spell Pierce
2 Sweltering Suns
2 The Royal Scions",
