,Deck,Player,ID,Tournament,Date,Format,Size,Decklist,Deck Adjusted
10,Green Field Ramp,RagingTiltMonster,2457047,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Arboreal Grazer
2 Blast Zone
1 Cascading Cataracts
4 Castle Garenbrig
2 Desert of the Indomitable
4 Elvish Rejuvenator
1 Emrakul, the Promised End
1 Field of Ruin
2 Field of the Dead
6 Forest
2 Golos, Tireless Pilgrim
3 Hashep Oasis
4 Hour of Promise
4 Nissa's Pilgrimage
4 Once Upon a Time
1 Radiant Fountain
2 Sanctum of Ugin
1 Scavenger Grounds
3 Shrine of the Forsaken Gods
4 Ugin, the Spirit Dragon
1 Ulamog, the Ceaseless Hunger
4 Walking Ballista

4 Jaddi Offshoot
3 Return to Nature
3 Sorcerous Spyglass
2 Thought-Knot Seer
3 Veil of Summer",
11,Gruul Ramp,kom141,2457053,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"2 Blast Zone
4 Castle Garenbrig
3 Dragonlord Atarka
4 Elvish Mystic
4 Explosive Vegetation
1 Field of the Dead
7 Forest
4 Llanowar Elves
1 Mountain
4 Nissa's Pilgrimage
4 Once Upon a Time
4 Sanctum of Ugin
1 Sea Gate Wreckage
1 Shrine of the Forsaken Gods
4 Stomping Ground
4 Sylvan Caryatid
1 Ulamog, the Ceaseless Hunger
3 Ulvenwald Hydra
4 World Breaker

1 Emrakul, the Promised End
1 Fog
2 Hour of Promise
3 Kozilek's Return
1 Pithing Needle
2 Rending Volley
1 Return to Nature
1 Sorcerous Spyglass
3 Veil of Summer",Gx Ramp
12,Izzet Phoenix,federusher,2457048,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Arclight Phoenix
4 Chart a Course
4 Fiery Temper
4 Island
4 Izzet Charm
4 Lightning Axe
1 Merchant of the Vale
3 Mountain
2 Nagging Thoughts
4 Opt
1 Saheeli, Sublime Artificer
1 Shivan Reef
4 Spirebluff Canal
4 Steam Vents
4 Sulfur Falls
4 Thing in the Ice
4 Treasure Cruise
4 Wild Slash

1 Aether Gust
2 Anger of the Gods
2 Firemind's Research
2 Fry
2 Mystical Dispute
2 Narset, Parter of Veils
3 Negate
1 Saheeli, Sublime Artificer",
13,Kethis Combo,vorg7,2457045,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Blooming Marsh
4 Botanical Sanctum
4 Diligent Excavator
4 Emry, Lurker of the Loch
4 Hallowed Fountain
4 Hope of Ghirapur
1 Jace, Wielder of Mysteries
4 Kethis, the Hidden Hand
3 Lazav, the Multifarious
4 Mana Confluence
4 Mox Amber
4 Oath of Nissa
2 Oko, Thief of Crowns
4 Once Upon a Time
4 Teferi, Time Raveler
2 Temple Garden
2 Terrarion
2 Urborg, Tomb of Yawgmoth

2 Ashiok, Dream Render
1 Assassin's Trophy
3 Fatal Push
2 Narset, Parter of Veils
1 Oko, Thief of Crowns
1 Teshar, Ancestor's Apostle
3 Thoughtseize
2 Urza's Ruinous Blast",
14,Mono-Black Aggro,Fortobecomederp,2457054,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Bloodsoaked Champion
4 Castle Locthwain
4 Fatal Push
3 Kalitas, Traitor of Ghet
4 Knight of the Ebon Legion
4 Murderous Rider
4 Mutavault
4 Night Market Lookout
4 Phyrexian Revoker
1 Scrapheap Scrounger
4 Smuggler's Copter
15 Swamp
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth

3 Disfigure
4 Duress
4 Kitesail Freebooter
4 Noxious Grasp",Bx Aggro
15,Mono-Red Aggro,Dignika,2457057,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Bomat Courier
1 Castle Embereth
4 Eidolon of the Great Revel
4 Ghitu Lavarunner
1 Hazoret the Fervent
4 Light Up the Stage
4 Lightning Strike
4 Monastery Swiftspear
14 Mountain
4 Ramunap Ruins
4 Smuggler's Copter
4 Soul-Scar Mage
4 Wild Slash
4 Wizard's Lightning

2 Chandra, Torch of Defiance
2 Goblin Chainwhirler
2 Hazoret the Fervent
3 Rampaging Ferocidon
4 Searing Blood
2 Smash to Smithereens",Rx Aggro
16,Rakdos Aggro,Boin,2457059,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Blood Crypt
4 Bomat Courier
2 Chandra, Torch of Defiance
4 Dragonskull Summit
1 Dreadbore
4 Foreboding Ruins
4 Goblin Chainwhirler
2 Hazoret the Fervent
2 Heart of Kiran
11 Mountain
2 Rampaging Ferocidon
4 Scrapheap Scrounger
4 Smuggler's Copter
4 Stonecoil Serpent
4 Unlicensed Disintegration
4 Wild Slash

2 Abrade
1 Chandra, Torch of Defiance
1 Hazoret the Fervent
2 Kolaghan's Command
2 Magma Spray
1 Rampaging Ferocidon
2 Rending Volley
4 Thoughtseize",Rx Aggro
17,Simic Ramp,h8cUn,2457056,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
4 Breeding Pool
2 Courser of Kruphix
4 Elvish Mystic
8 Forest
4 Hydroid Krasis
1 Kiora, Master of the Depths
4 Leyline of Abundance
4 Llanowar Elves
3 Nissa, Who Shakes the World
4 Nykthos, Shrine to Nyx
4 Oath of Nissa
2 Oko, Thief of Crowns
4 Once Upon a Time
1 Polukranos, World Eater
4 Sylvan Caryatid
1 Ulamog, the Ceaseless Hunger
2 Walking Ballista

2 Negate
1 Nissa, Vastwood Seer
2 Nylea's Disciple
2 Pithing Needle
2 Return to Nature
2 Shapers' Sanctuary
2 Veil of Summer
2 Voracious Hydra",Gx Ramp
18,Vannifar Copycat,gskullking,2457058,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"4 Botanical Sanctum
2 Breeding Pool
2 Corridor Monitor
1 Elvish Mystic
2 Fabled Passage
4 Felidar Guardian
2 Forest
4 Gilded Goose
2 Hallowed Fountain
1 Island
1 Mountain
4 Oath of Nissa
4 Oko, Thief of Crowns
1 Plains
3 Prime Speaker Vannifar
3 Reflector Mage
2 Renegade Rallier
2 Sacred Foundry
4 Saheeli Rai
1 Spirebluff Canal
3 Teferi, Time Raveler
4 Temple Garden
1 Thalia's Lancers
3 Voice of Resurgence

3 Deafening Silence
2 Declaration in Stone
2 Jace, Architect of Thought
3 Knight of Autumn
3 Negate
2 Veil of Summer",
19,Blue-White Control,TSPJendrek,2457064,Pioneer PTQ #12006968,11/1/2019,Pioneer,32,"2 Absorb
2 Approach of the Second Sun
3 Azorius Charm
1 Castle Vantress
4 Censor
2 Cyclonic Rift
1 Dig Through Time
2 Disallow
2 Dovin's Veto
2 Field of Ruin
1 Geier Reach Sanitarium
4 Glacial Fortress
4 Hallowed Fountain
2 Irrigated Farmland
5 Island
1 Jace, Architect of Thought
2 Last Breath
2 Narset, Parter of Veils
4 Plains
4 Port Town
4 Supreme Verdict
2 Teferi, Hero of Dominaria
4 Teferi, Time Raveler

2 Authority of the Consuls
2 Hallowed Moonlight
3 Isolate
4 Mystical Dispute
2 Pithing Needle
2 Rest in Peace",UW Control
